CoC Number,CoC Name,2019,2020,2021,2022,2023
FL-601,Ft Lauderdale/Broward County CoC,2803,2211,2561,2054,2487
FL-602,Punta Gorda/Charlotte County CoC,156,169,154,148,427
FL-603,"Ft Myers, Cape Coral/Lee County CoC",372,444,394,560,862
FL-604,Monroe County CoC,501,421,242,526,493
FL-605,West Palm Beach/Palm Beach County CoC,1397,1510,458,1404,1855
FL-606,Naples/Collier County CoC,498,603,568,462,703
GA-500,Atlanta CoC,3217,3240,1996,2017,2679
GA-501,Georgia Balance of State CoC,4183,4349,1896,5856,6388
GA-502,Fulton County CoC,632,276,81,273,337
GA-503,Athens-Clarke County CoC,237,210,133,283,353
GA-504,Augusta-Richmond County CoC,384,470,144,549,643
GA-505,Columbus-Muscogee CoC,278,249,236,243,274
GA-506,Marietta/Cobb County CoC,451,424,252,380,437
GA-507,Savannah/Chatham County CoC,686,672,548,523,745
GA-508,DeKalb County CoC,375,344,200,565,438
GU-500,Guam CoC,875,790,199,1087,1075
HI-500,Hawaii Balance of State CoC,1995,2010,636,2022,2195
HI-501,Honolulu City and County CoC,4417,4448,1854,3945,4028
IA-500,"Sioux City/Dakota, Woodbury Counties CoC",255,305,233,212,276
IA-501,Iowa Balance of State CoC,1379,1696,1725,1601,1733
IA-502,Des Moines/Polk County CoC,681,646,576,606,644
ID-500,Boise/Ada County CoC,713,647,575,620,687
ID-501,Idaho Balance of State CoC,1602,1668,1314,1378,1611
IL-500,McHenry County CoC,159,155,49,92,125
IL-501,"Rockford/DeKalb, Winnebago, Boone Counties CoC",403,465,287,406,445
IL-502,"Waukegan, North Chicago/Lake County CoC",252,292,372,431,467
IL-503,"Champaign, Urbana, Rantoul/Champaign County CoC",151,140,148,137,215
IL-504,Madison County CoC,101,79,42,96,88
IL-506,"Joliet, Bolingbrook/Will County CoC",278,276,257,219,343
IL-507,"Peoria, Pekin/Fulton, Tazewell, Peoria, Woodford Counties CoC",285,311,202,337,420
IL-508,"East St. Louis, Belleville/St. Clair County CoC",247,298,93,197,264
IL-510,Chicago CoC,5290,5390,3725,3875,6139
IL-511,Cook County CoC,897,846,1044,1096,1056
IL-512,Bloomington/Central Illinois CoC,319,408,275,241,256
IL-513,Springfield/Sangamon County CoC,284,294,189,264,306
IL-514,DuPage County CoC,309,328,425,555,525
IL-515,South Central Illinois CoC,94,123,151,157,170
IL-516,Decatur/Macon County CoC,169,135,83,93,110
IL-517,"Aurora, Elgin/Kane County CoC",388,410,251,391,461
IL-518,"Rock Island, Moline/Northwestern Illinois CoC",211,135,95,280,232
IL-519,West Central Illinois CoC,68,113,111,97,95
IL-520,Southern Illinois CoC,294,233,159,248,230
IN-502,Indiana Balance of State CoC,3904,4037,3047,3688,4398
IN-503,Indianapolis CoC,1567,1588,1928,1761,1619
KS-502,Wichita/Sedgwick County CoC,593,619,419,690,702
KS-503,Topeka/Shawnee County CoC,441,467,294,365,407
KS-505,"Overland Park, Shawnee/Johnson County CoC",189,180,157,212,235
KS-507,Kansas Balance of State CoC,1056,943,783,929,1082
KY-500,Kentucky Balance of State CoC,2221,2220,969,2189,2346
KY-501,Louisville-Jefferson County CoC,1071,1102,1013,1080,1605
KY-502,Lexington-Fayette County CoC,787,689,562,715,815
LA-500,Lafayette/Acadiana CoC,360,417,349,351,452
LA-502,"Shreveport, Bossier/Northwest Louisiana CoC",292,298,198,255,223
LA-503,New Orleans/Jefferson Parish CoC,1179,1314,1042,1214,1390
LA-505,Monroe/Northeast Louisiana CoC,188,162,78,136,122
LA-506,Slidell/Southeast Louisiana CoC,215,118,70,611,182
LA-507,Alexandria/Central Louisiana CoC,114,107,64,75,122
LA-509,Louisiana Balance of State CoC,593,757,330,4731,678
MA-500,Boston CoC,6242,6134,4548,4439,5202
MA-502,Lynn CoC,1035,1040,943,851,1094
MA-503,Cape Cod Islands CoC,371,336,343,397,427
MA-504,Springfield/Hampden County CoC,2443,2257,2248,2294,2683
MA-505,New Bedford CoC,433,398,372,370,373
MA-506,Worcester City & County CoC,1593,1401,1196,1277,1607
MA-507,"Pittsfield/Berkshire, Franklin, Hampshire Counties CoC",546,591,425,542,622
MA-509,Cambridge CoC,555,501,411,440,474
MA-511,"Quincy, Brockton, Weymouth, Plymouth City and County CoC",1088,1079,943,1008,1472
MA-515,Fall River CoC,320,357,324,361,433
MA-516,Massachusetts Balance of State CoC,3589,3631,3102,3235,4432
MA-519,"Attleboro, Taunton/Bristol County CoC",256,250,224,293,322
MD-501,Baltimore CoC,2294,2193,1631,1597,1627
MD-503,Annapolis/Anne Arundel County CoC,302,319,244,307,241
MD-504,Howard County CoC,201,139,82,165,145
MD-505,Baltimore County CoC,735,712,270,468,612
MD-506,Carroll County CoC,144,130,85,76,122
MD-511,Mid-Shore Regional CoC,164,157,122,116,139
MD-513,"Wicomico, Somerset, Worcester Counties CoC",275,310,214,237,329
MD-514,Maryland Balance of State CoC,1352,1264,790,1269,1161
MD-600,Prince George's County CoC,447,466,535,533,595
MD-601,Montgomery County CoC,647,670,577,581,894
ME-500,Maine Statewide CoC,2106,2097,2063,4411,4258
MI-500,Michigan Balance of State CoC,1298,1502,1014,1585,1698
MI-501,Detroit CoC,1965,1589,1293,1691,1482
MI-502,"Dearborn, Dearborn Heights, Westland/Wayne County CoC",222,260,169,166,199
MI-503,"St. Clair Shores, Warren/Macomb County CoC",265,251,330,272,319
MI-504,"Pontiac, Royal Oak/Oakland County CoC",425,459,333,320,386
MI-505,Flint/Genesee County CoC,450,349,336,360,396
MI-506,"Grand Rapids, Wyoming/Kent County CoC",759,923,894,1044,1239
MI-507,"Portage, Kalamazoo City & County CoC",702,639,342,488,635
MI-508,"Lansing, East Lansing/Ingham County CoC",476,512,372,515,685
MI-509,Washtenaw County CoC,273,274,269,211,266
MI-510,Saginaw City & County CoC,364,431,331,313,324
MI-511,Lenawee County CoC,123,168,97,158,149
MI-512,"Grand Traverse, Antrim, Leelanau Counties CoC",168,211,202,164,198
MI-514,Battle Creek/Calhoun County CoC,241,229,149,218,241
MI-515,Monroe City & County CoC,167,184,103,111,127
MI-516,"Norton Shores, Muskegon City & County CoC",136,129,105,135,161
MI-517,Jackson City & County CoC,113,100,119,90,137
MI-518,Livingston County CoC,89,47,77,97,88
MI-519,Holland/Ottawa County CoC,225,270,139,200,212
MI-523,Eaton County CoC,114,111,83,68,55
MN-500,Minneapolis/Hennepin County CoC,3400,3049,2369,2678,3312
MN-501,Saint Paul/Ramsey County CoC,1579,1630,1872,1713,1680
MN-502,Rochester/Southeast Minnesota CoC,452,459,419,485,496
MN-503,"Dakota, Anoka, Washington, Scott, Carver Counties",686,561,610,746,807
MN-504,Northeast Minnesota CoC,90,143,73,113,87
MN-505,St. Cloud/Central Minnesota CoC,679,864,536,916,801
MN-506,Northwest Minnesota CoC,268,320,249,285,336
MN-508,Moorhead/West Central Minnesota CoC,216,223,186,253,174
MN-509,Duluth/St.Louis County CoC,519,612,348,555,579
MN-511,Southwest Minnesota CoC,88,79,113,173,121
MO-500,St. Louis County CoC,487,479,341,371,446
MO-501,St.Louis City CoC,1031,1260,997,1147,1252
